id,product_id,rule_code,rule_name,rule_type,rule_expression,threshold_value,decision_action,yn,created_at,updated_at
176,30,P30_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
177,30,P30_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
178,30,P30_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
179,30,P30_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
180,30,P30_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
181,31,P31_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
182,31,P31_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
183,31,P31_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
184,31,P31_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
185,31,P31_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
186,31,P31_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
187,32,P32_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
188,32,P32_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
189,32,P32_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
190,32,P32_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
191,32,P32_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
192,32,P32_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
193,33,P33_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
194,33,P33_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
195,33,P33_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
196,33,P33_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
197,33,P33_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
198,33,P33_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
199,34,P34_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
200,34,P34_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
201,34,P34_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
202,34,P34_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
203,34,P34_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
204,34,P34_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
205,35,P35_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
206,35,P35_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
207,35,P35_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
208,35,P35_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
209,35,P35_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
210,35,P35_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
211,36,P36_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
212,36,P36_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
213,36,P36_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
214,36,P36_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
215,36,P36_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
216,36,P36_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
